date, pm25, pm10, o3, no2, so2, co
2025/6/2, 151, 91, 22, 37, , 16
2025/6/3, 147, 113, , 48, , 19
2025/6/4, 160, 96, 9, 39, , 14
2025/6/5, 156, 108, 17, 40, , 21
2025/6/6, 162, 89, 8, 29, , 20
2025/6/7, 138, 83, 10, 29, , 14
2025/6/8, 146, 118, 23, 32, , 29
2025/6/9, 179, 113, 42, 47, , 28
2025/6/10, 149, 99, 13, 50, , 27
2025/6/11, 132, 60, 4, 25, , 7
2025/6/12, 104, 40, 11, 24, , 9
2025/6/13, 76, 66, 13, 22, , 17
2025/6/14, 103, 93, 5, 24, , 22
2025/6/15, 137, 70, 9, 25, , 15
2025/6/16, 112, 20, 13, 15, , 6
2025/6/17, 26, 68, 4, 23, , 16
2025/6/18, 102, 97, 8, 28, , 25
2025/6/19, 140, 108, 8, 34, , 29
2025/6/20, 147, 101, 8, 32, , 28
2025/6/21, 156, 81, 6, 27, , 18
2025/6/22, 144, 30, 15, 14, , 6
2025/6/23, 66, 52, 10, 20, , 9
2025/6/24, 84, 69, 29, 24, , 14
2025/6/25, 112, 56, 9, 22, , 10
2025/6/26, 90, 69, 11, 24, , 12
2025/6/27, 106, 80, 3, 26, , 17
2025/6/28, 139, 67, 10, 20, , 10
2025/6/29, 131, 85, 15, 22, , 21
2025/6/30, 153, 97, , 25, , 39
2025/7/1, 173, , , , , 
2025/5/2, 106, 74, 27, 26, , 15
2025/5/3, 113, 82, 34, 30, , 20
2025/5/4, 124, 65, 30, 22, , 14
2025/5/5, 101, 68, 24, 27, , 11
2025/5/6, 99, 63, 26, 25, , 7
2025/5/7, 102, 70, 3, 36, , 8
2025/5/8, 108, 27, 5, 26, , 8
2025/5/9, 64, 52, 11, 26, , 12
2025/5/10, 82, 109, 20, 34, , 26
2025/5/11, 137, 84, 12, 27, , 20
2025/5/12, 126, 64, 9, 26, , 10
2025/5/13, 103, 62, 10, 29, , 9
2025/5/14, 116, 65, 14, 33, , 9
2025/5/15, 117, 88, 14, 29, , 15
2025/5/16, 146, 73, 16, 25, , 12
2025/5/17, 127, 55, 2, 24, , 7
2025/5/18, 101, 59, 1, 24, , 9
2025/5/19, 114, 49, 7, 24, , 9
2025/5/20, 78, 76, 9, 26, , 14
2025/5/21, 102, 67, 24, 25, , 11
2025/5/22, 96, 87, 20, 30, , 16
2025/5/23, 133, 98, 6, 36, , 17
2025/5/24, 149, 87, 16, 31, , 15
2025/5/25, 147, 80, 14, 23, , 17
2025/5/26, 128, 25, 4, 21, , 5
