date, pm25, pm10, o3, no2, so2, co
2025/6/2, 112, 83, , 42, 4, 13
2025/6/3, 118, 100, , 52, 4, 17
2025/6/4, 148, 88, 9, 42, 3, 14
2025/6/5, 148, 96, 14, 47, 3, 14
2025/6/6, 154, 67, 11, 33, 2, 10
2025/6/7, 124, 76, 13, 33, 1, 10
2025/6/8, 152, 77, 27, 32, 2, 13
2025/6/9, 151, 78, 36, 44, 2, 13
2025/6/10, 122, 77, 8, 47, 3, 13
2025/6/11, 88, 55, 5, 27, 2, 8
2025/6/12, 104, 25, 12, 22, 1, 7
2025/6/13, 61, 36, 12, 24, 1, 9
2025/6/14, 61, 59, 10, 27, 2, 10
2025/6/15, 90, 56, 9, 27, 1, 13
2025/6/16, 96, 16, 15, 15, 2, 5
2025/6/17, 28, 54, 7, 24, 2, 11
2025/6/18, 72, 66, 19, 27, 2, 11
2025/6/19, 90, 70, 6, 36, 3, 13
2025/6/20, 100, 60, 15, 30, 2, 12
2025/6/21, 102, 62, 8, 29, 2, 12
2025/6/22, 113, 28, 15, 18, 1, 6
2025/6/23, 77, 55, 10, 22, 2, 25
2025/6/24, 88, 67, 7, 30, 4, 9
2025/6/25, 96, 53, 8, 26, 8, 7
2025/6/26, 92, 63, 12, 29, 2, 10
2025/6/27, 114, 67, 2, 27, 2, 10
2025/6/28, 123, 68, 9, 26, 2, 11
2025/6/29, 138, 56, 15, 20, 2, 11
2025/6/30, 122, 56, , 23, 1, 11
2025/7/1, 126, , , , , 
2025/5/2, 122, 69, 25, 33, 2, 8
2025/5/3, 112, 65, 29, 32, 2, 10
2025/5/4, 104, 49, 30, 26, 1, 7
2025/5/5, 77, 66, 25, 33, 1, 8
2025/5/6, 81, 93, 6, 38, 1, 10
2025/5/7, 156, 77, 54, 45, 2, 10
2025/5/8, 126, 17, 3, , 1, 6
2025/5/9, 50, 64, 7, , 2, 10
2025/5/10, 65, 72, 17, , 2, 13
2025/5/11, 90, 59, 22, , 1, 10
2025/5/12, 95, 74, 46, 53, 2, 12
2025/5/13, 124, 84, 22, 42, 2, 12
2025/5/14, 141, 80, 17, 36, 3, 13
2025/5/15, 144, 84, 16, 40, 2, 11
2025/5/16, 138, 73, 17, 35, 2, 9
2025/5/17, 142, 57, 5, 27, 1, 7
2025/5/18, 125, 56, 1, 29, 1, 10
2025/5/19, 127, 33, 8, 23, 1, 7
2025/5/20, 61, 78, 5, 29, 2, 12
2025/5/21, 89, 65, 17, 27, 2, 13
2025/5/22, 106, 86, 9, 39, 2, 12
2025/5/23, 121, 86, 7, 40, 3, 14
2025/5/24, 131, 78, 17, 36, 3, 13
2025/5/25, 134, 53, 13, 23, 1, 10
2025/5/26, 95, 22, 4, 22, 1, 5
2025/5/27, 56, 30, 23, 13, 1, 5
2025/5/28, 37, 76, 5, 28, 3, 11
2025/5/29, 87, 75, 8, 37, 3, 12
2025/5/30, 97, 65, 10, 28, 2, 11
2025/5/31, 91, 68, 14, 31, 3, 14
2025/6/1, 111, 64, 19, 28, 3, 13
2025/4/2, 86, 57, 24, 32, 3, 24
2025/4/3, 78, 54, 28, 32, 26, 6
2025/4/4, 65, 65, 38, 36, 2, 7
2025/4/5, 75, 47, 16, 23, 1, 6
2025/4/6, 77, 32, 8, 8, , 1
2025/4/7, 76, 56, 26, 29, 1, 6
2025/4/8, 64, 57, 30, 30, 1, 5
2025/4/9, 68, 55, 23, 25, , 5
2025/4/10, 95, 53, 18, 17, , 3
2025/4/11, 94, 42, 9, 16, , 4
2025/4/12, 64, 60, 25, 22, 1, 9
2025/4/13, 94, 52, 38, 23, , 7
2025/4/14, 76, 53, 23, 26, , 5
2025/4/15, 61, 55, 23, 27, 1, 5
2025/4/16, 57, 58, 31, 26, 1, 6
2025/4/17, 62, 68, 9, 33, 2, 7
2025/4/18, 72, 57, 35, 28, 2, 8
2025/4/19, 76, 51, 36, 26, 2, 7
2025/4/20, 76, 53, 37, 25, 1, 7
2025/4/21, 79, 58, 18, 30, 2, 6
2025/4/22, 69, 65, 20, 32, 2, 6
2025/4/23, 71, 60, 4, 32, 1, 8
2025/4/24, 75, 47, 9, 17, 1, 4
2025/4/25, 63, 35, 5, 21, 1, 5
2025/4/26, 50, 49, 15, 17, 2, 9
2025/4/27, 80, 49, 27, 18, 2, 9
2025/4/28, 83, 60, 21, 32, 2, 8
2025/4/29, 66, 68, 18, 35, 2, 8
2025/4/30, 85, 52, 3, 27, 1, 5
2025/5/1, 100, 62, 23, 30, 1, 6
2025/1/2, 51, 42, 35, 13, 1, 2
2025/1/3, 42, 46, 42, 18, 2, 3
2025/1/4, 48, 40, 39, 11, 2, 2
2025/1/5, 50, 39, 43, 11, 2, 3
2025/1/6, 53, 43, 34, 13, 2, 3
2025/1/7, 47, 38, 26, 10, 1, 2
2025/1/8, 46, 39, 37, 12, 2, 2
2025/1/9, 41, 43, 37, 12, 2, 4
2025/1/10, 44, 49, 39, 18, 2, 7
2025/1/11, 51, 44, 44, 15, 2, 4
2025/1/12, 46, 39, 30, 13, 2, 4
